개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
86,기초학부,전체,GC101,12,Academic English: Speaking and Correspondence,Andrew John Miller,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,금14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
87,기초학부,전체,GC101,13,Academic English: Speaking and Correspondence,Andrew John Miller,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,금09:30-12:30(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
88,기초학부,전체,GC101,14,Academic English: Speaking and Correspondence,이정아,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,화14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
89,기초학부,전체,HSS101,01,경제학 입문 - 영어강좌,김선구,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,수10:00-13:00(E7 - L31),,
90,기초학부,전체,HSS102,01,과학기술과 현대사회,장하원,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,월10:00-13:00(E7 - G01),,
91,기초학부,전체,HSS103,01,법과 사회,김현희,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - L21),,
92,기초학부,전체,HSS104a,01,소설의 이해,배하은,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,"월10:30-12:00(E7 - G02), 수10:30-12:00(E7 - G02)",,
93,기초학부,전체,HSS106,01,비교정치학,윤지성,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,"화16:00-17:30(E7 - G02), 목16:00-17:30(E7 - G02)",,
94,기초학부,전체,HSS107,01,언어학입문,이정아,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - L30),,
95,기초학부,전체,HSS108,01,비교역사학,이원근,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,월10:00-13:00(E7 - L31),,
96,기초학부,전체,HSS109a,01,학술 글쓰기,배하은,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,"월09:00-10:30(E7 - G02), 수09:00-10:30(E7 - G02)",,
97,기초학부,전체,HSS109a,02,학술 글쓰기,임희현,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목10:00-13:00(E7 - G02),,
98,기초학부,전체,HSS109a,03,학술 글쓰기,임희현,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목14:30-17:30(E7 - 224),,
99,기초학부,전체,HSS109a,04,학술 글쓰기,전계성,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,화15:00-18:00(E7 - 224),,
100,기초학부,전체,HSS109a,05,학술 글쓰기,전계성,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - 224),,
101,기초학부,전체,HSS112,01,사회학의 이해,최태섭,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목09:00-12:00(E7 - G03),,
102,기초학부,전체,HSS114,01,지리학 입문,숀센,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,월18:00-21:00(E7 - G01),,
103,기초학부,전체,HSS115,01,심리학으로의 여행,곽금주,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,화11:00-14:00(E7 - L30),,
104,기초학부,전체,HSS116,01,인류학의 이해,이정덕,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,화15:00-18:00(E7 - G03),,
105,기초학부,전체,HSS117,01,인간과 종교,박범석,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목09:00-12:00(E7 - L30),,
106,기초학부,전체,HSS118,01,미래소양강좌,최한경,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,S/U,1.0,1.0,0.0,N,Y,금13:00-14:00(E7 - 236),,
107,기초학부,전체,HSS119,01,진로탐색 및 전공설계Ⅰ,최한경,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,S/U,1.0,1.0,0.0,N,Y,수13:00-14:00(E7 - L29),,
108,기초학부,전체,HSS121,01,Introduction to Traditional Korean Culture - 영어강좌,배하은,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,2.0,2.0,0.0,N,Y,월13:00-15:00(E7 - L22),,
109,기초학부,전체,HSS122,01,Introduction to Philosophy - 영어강좌,김병재,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,2.0,2.0,0.0,N,Y,월10:30-12:30(E7 - G03),,
110,기초학부,전체,HSS201,01,과학기술사의 주요 장면,장하원,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,월14:00-17:00(E7 - G01),,
111,기초학부,전체,HSS202,01,과학철학의 쟁점,강유진,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,수13:00-16:00(E7 - G03),,
